"id";"description";"TAR"
"1064396393598783";"Oliver ich guck doch schon mindestens einmal die Woche RTLNEWS .";"individual"
"1065824423455980";"Ich bin auf einen hoffentlich Brandbericht gespannt . Und anschließend auf die Erklärungen der Komiker aus Politik Presse Rundfunk Fernsehen und der Promis die glaubten die Täter noch während des Brandes schon ausgemacht zu haben . Keine Beschädigungen am Gebäude ein Dachstuhl brennt gleichzeitig eventuell noch über eine Brandwand hinaus . Wer kann fast Meter hoch mit dem Wurf an der Stelle soll der Brand begonnen haben gezielt einen Brandsatz durch keine . Öffnung werfen . Also ein Versicherungsbetrug oder ein Versuch eine Hetze gegen Sachsen die AfD und Pegida anzuzetteln . Ein Schaden soll wohl schon ausgeschlossen sein wovon auch . Schauen wir mal vor allem auf Reaktionen danach denn bis jetzt war es nur Hetze ohne jegliche Beweise .";"public"
"1065801100124979";"";"public"
"1064411476930608";"Sabine Zimmermann das ist natürlich ein mega Beispiel . Logisch sagen sie da das es brennt damit sie es den Nazis anhängen können . Wenn aber unsere Neuankömmlinge Scheiße bauen wird immer versucht das Mäntelchen der Verschwiegenheit darüber zu decken . Allein ihr Kommentar zeigt wie naiv sie sind .";"individual"
"1065837533454669";"Die Politiker bedürfen wirklich Nachhilfeunterricht in Sachen Demokratie .";"public"
"1064883423550080";"Silvia Köln wir brauchen etwas länger sind aber auf einem Weg .";"individual"
"1064352826936473";"Leider war es brandstiftung aber ich gehe von einem versicherungsbetrug aus aber in die richtung denkt ka KEINER";"public"
"1066462483392174";"Devise lautet nach wie vor Zone zuscheißen .";"public"
"1069126653125757";"Im hatte ich auf einen Post geantwortet der nun verschwunden ist . Hier ein Link zu dieser Seite Meiner Meinung nach ein Fake von Kindern die gern mal dem Schwesterchen unter den Rock greifen möchte .";"public"
"1069116643126758";"Der ist doch betrunken .";"public"
"1065822346789521";"ich denke mal die wollen uns sachsen einer gehirnwäsche mit propaganda bombardieren daß lassen wir uns nicht gefallen .";"group"
"1065867473451675";"im fällt mir noch ein Kriegt die Schwester auch immer einen Nervenzusammenbruch wenn sie von ihrem Mann geschlagen wird . Oder nur wenn sie von Kuffar angeblich geschlagen wird .";"public"
"1064380220267067";"Und das ist auch gut so .";"public"
"1064442286927527";"Rafael Prien ein s bei verpiss vergessen . GroßKleinschreibung vernachlässige ich jetzt mal .";"individual"
"1064358353602587";"Jitka Zajícová Herzlich willkommen .";"individual"
"1064548636916892";"Sachsen ist Deutschland und Deutschland ist Sachsen";"public"
"1065842083454214";"Wenn keine Häuser mehr bombardiert würden würden auch keine Häuser mehr brennen . Die Flüchtlinge blieben aus .";"public"
"1065868516784904";"GutmenschenHirnverneblersprüche.naja fällt niemand mehr drauf rein . Gutes kann auch nicht aus billigst Altparteienknechten entstehen .";"public"
"1064356010269488";"Deutsch un frei woll ma sei un da bleim ma a dobei weil ma ärzgebirger sei .";"public"
"1069076336464122";"Volker beck . Komm zurück . Der merkt ja noch weniger . schwede .";"individual"
"1069221583116264";"Peter Freienhagen du hast vollkommen recht . Aber ich glaube das ist Liebesmüh . Unserer Jugend geht das alles am A. vorbei . Die haben keine Werte vermittelt bekommen und wir die Erwachsenen sind auch keine Vorbilder mehr an die sich ein Mensch orientieren könnte . Das haben wir alle mächtig versaut .";"individual"
"1065801773458245";"Die Altparteien und die Antifa bauen uns ein Deutschland für den Islam für Zensur und gegen das Volk .";"public"
"1065882156783540";"Ich weiss gar nicht warum die so laut bellenwer leute wie filbinger in seiner partei hofiert hat soll doch heute nicht auf die jugend schimpfen . die haben von den alten gelernt .";"group"
"1069125156459240";"Oh Ihr Schwaben habt auch ein Volltrottel als Ministerpräsident . Gruß aus Sachsen wählt bitte richtig .";"group"
"1065849560120133";"Wir haben eine Bildung und brauchen keine bevormundung von Stasimitarbeitern Hr. Tillich Maas und co.";"public"
"1064399073598515";"Doch Gabriele aber hoffentlich wird sich das zeitnah deutlich ändern .";"individual"
"1064370850268004";"Sachsen lasst Euch bloß nicht unterkriegen von den Versagerpolitikern und der Lügenpresse .";"group"
"1065825330122556";"Herr Gottlieb ich fürchte dass Pegida dereinst im Rückblick der völlig Auftakt war dem sich eine nie Eruption des Volkes gegen ein System anschloß . Denn wir das Volk haben das Recht und die PFLICHT Widerstand zu leisten .";"individual"
"1064363103602112";"Das ist genau auf den Punkt gebracht .";"public"
"1064470026924753";"JEDE STIMME ZÄHLT . Die SVPInitiative könnte alle Rekorde brechen . Die DurchsetzungsInitiative mobilisiert die Massen . In vielen Gemeinden haben bisher klar mehr Personen abgestimmt als üblich . Meine Empfehlung x JA ZUR VERNUNFT am . Februar . SVPDurchsetzungsinitiative JA . Gotthardtunnel JA . Abschaffung der Heiratsstrafe JA . Die Mehrheit in der Schweiz sorgt jetzt für Lösungen und mehr Sicherheit in unserem Land . NUR NOCH TAGE BLEIBEN . Senden Sie heute per APOST bitte frankieren . Ihr Abstimmungscouvert zum Wahlbüro . Oder geben Sie am Samstag und Sonntag persönlich Ihre Stimme an der Urne ab . Es wird sehr knapp JEDE STIMME ZÄHLT .";"public"
"1064905916881164";"Beim Lesen der Kommentare kann man nur dümmer werden .";"public"
"1065830673455355";"da hilft nur noch die Vertrauensfrage für diese Regierung";"public"
"1065850386786717";"";"public"
"1064413570263732";"Kata Mo Ne Moslempartei . da haben wir schon die Grünen .";"individual"
"1065887196783036";"ich habe mich immer gezofft mit mein Lehrer";"public"
"1069099443128478";"das Grundgesetz für die Bundesrepublik Deutschland Grundgesetz ist schon umgangssprachlich du hättest eine genauso Figur abgegeben wie dieser Journalist";"individual"
"1065802840124805";"Bildung heißt dann nichts weiter als das alle mal wieder in nur eine Richtung gucken dürfen .";"public"
"1064655503572872";"Ich zieh mir Pegida ein bis nichts mehr geht da merkt man das die Welt sich Grüße aus dem Erzgebirge Freunde";"group"
"1069083063130116";"Oh Mann . Und sowas darf Interviews führen bzw. welche geben . Leute viele würden wirklich arbeiten im Gegensatz zu solchen Figuren .";"public"
"1065823896789366";"Staatsbürgerkunde . Dann aber mit Marx Engels und Lenin .";"public"
"1066106730094416";"Ja wir brauchen eine bildung ABER eine darstellung der politik .";"public"
"1064441993594223";"Tilo Ich bin vor Jahren nicht mit Schildern rum gefahren ich bin schon immer Parteilos gewesen und bin es noch Heute die Politik in der DDR war auch nicht erträglich und bin vor Jahren auch auf die Straße gegangen aber was hier mit den Volk in Deutschland gemacht wird ist ist eine Schande für die Leute die vor Jahren auf die Straße gegangen sind . Du bist nicht der Einzigste der sich traut jetzt auf die Straße zu gehen . Ich bin seit November fast jeden Montag und Demos auf der Straße . Wenn Du mit mir ein Problem hast dann schau in meine Chronik ansonsten geh zum Arzt .";"individual"
"1069102966461459";"Links kennt Kretschmann nur vom Straßenverkehr . Er ist ehe ein grün Kleinbürger .";"public"
"1069105233127899";"habe immer gedacht eine krähe hackt der anderen kein auge aus . aber wie die sich selber fertigmachen untereinander köstlich . jeder versucht noch linksradikaler zu sein wie der andere . das ist schon abstruz";"public"
"1065832670121822";"Die Brandursache ist bis heute nicht geklärtaber die Schuldigen standen bereits am Tag fest . Wie war das mit dem Reichstagsbrand Zeit später wurde das Ermächtigungsgesetz verabschiedet und die Demokratie abgewickelt .";"public"
"1065883433450079";"Den Damen und Herren der Fraktion dann einen Gruss Gutes kann niemals aus Lüge und Gewalt entstehen.schön brav an die Nase fassen.und Asylbeantrager die ich weiss meinen Namen nicht und Pass einfach weg ist.sich mehrfach rumpöbeln vergewalttigen steheln rauben zusammenschlagenbelästigen und Angst verbreiten sind als die GUTEN . Ihr habt se doch echt nicht mehr alle . Und Sachsen ich komme übrignes NICHT aus Sachsen also neutral braucht BILDUNG . Neuankömmlinge nicht . WIR in Deutschland wissen was Recht und Unrecht ist und auch das es IMMER auch bei uns solche Leute geben wird die dann aber meistens auch bestraft werden wenn auch manchmal nicht so wie es sein sollte bei Schändung Tiermord Brutalität Tötungsdelikten.aber sie kennen die Gesetze unsere Mitbürger.der Rest lassen wir dahingestellt ob Bildung oder wenig oder eben garnicht . EINS fehlt auf JEDEN Fall da der RESPEKT für die andere unser hier in Deutschland Kultur.egal ob Judentum Christentum oder FRIEDLICH Brauch und Religionstum .";"group"
"1066040990100990";"Warum überrascht es mich nicht dass Pegida gegen Bildung an Schulen ist . Ein Schelm weder böses dabei denkt";"public"
"1064848076886948";"Ich bin stolz auf euch Sachsennicht nur das ihr die Mädels habt nein ihr habt auch noch Vaterlandsstolz und kämpft dafür .";"group"
"1066481290056960";"Daniela beides ist richtig .";"individual"
"1065825680122521";"Politiker brauchen keine Aufklärung über Demokratie die wissen genau daß es keine Demokratie ist wenn ihre Entscheidungen und Gesetze vom Volk nicht verhindert werden können . Wenn die Demokratie gewählte VolksvertretungParlamentGesetzgeberdt . BUNDESTAG über der Demokratie dem Willen aller StaatsbürgerVolk steht DANN ist es eine Oligarchie eine ELITENDIKTATUR eine PolitikerDiktatur . Die Wahl der Partei bringt nichts wenn das Wahlrecht nicht demokratisch verändert wird . Es macht keinen Sinn wählen zu gehen in einem System das merken immer mehr Menschen und gehen nicht mehr zur Wahl .";"public"
"1065834113455011";"Na Logo wählen ist Pflicht . Ich gebe nicht auf der Glaube stirbt zuletzt .";"public"
"1065823883456034";"Kommentar Herr Grow . Danke .";"individual"
"1069127059792383";"Ich frage mich immer wer wählt die eigentlich .";"public"
"1065852836786472";"Sachsen braucht wie wir alle eine Regierung .";"public"
"1069143589790730";"werde nie verstehen das die meisten Menschen in Baden Würtemberg immer noch die Grünen wählen wollen . Habt ihr kein Gewissen euren Kindern gegenüber .";"group"
"1069136533124769";"Cemil Degirmenci lies Link mal genau durch . Er stellt selber klar das das GG keine Verfassung istversucht aber sie als solche unter zujubeln . Womit ich deinen Informationshinweis mal an dich zurück gebe . und IND neumannwer Wiki als Quelle angibtdem ist leider auch nicht wirklich zu helfen.und unsere Vefassung sagt dann im Art . ausdas wir Besatzungskosten zu tragen habenweil wir ja demnach was wären.wem zahlt man Besatzungskosten . richtig . ja nee is klar.lasst euch mal weiter verarschen";"individual"
"1065847320120357";"Was versteht er unter Bildung . Gegen Bildung ist nichts einzuwenden wenn sie nicht einseitig erfolgt und lediglich manipulieren soll . Wenn man nun Tillich und Mitstreiter so reden hört scheint diese Gefahr sehr nahe liegend .";"public"
"1065865826785173";"Also andersdenkende müssen politisch gebildet werden.das hatten wir doch schon einmal .";"public"
"1065832640121825";"Ist unser Bildungssystem nicht schon mehr als genug von Ideologie unterwandert . Woher kommt der Hass auf das Deutsche und die Gewalt gegen Deutsche bei Studenten . Die Steigerungsform wäre dann der massenhafte Selbstmord oder die Selbstversklavung . Es sollten viel mehr Werte vermittelt werden die uns erst gar nicht in diese Situation von der Spaltung der Gesellschaft in Gut und Böse oder Nazis und Gutmenschen bis hin zur Aufgabe unserer Identität geführt hätten .";"public"
