"id";"text";"TAR";"predicted_label";"tokens";"pos_tags"
"1064396393598783";"Oliver -- ich gucken doch schon mindestens einmal der Woche RT2EWS .";"individual";"";"";""
"1065824423455980";"Ch sein auf ein hoffentlich ehrlich abschließend Brandbericht spannen . und anschließend auf der Erklärung der ganz Omiker aus Politik -- Presse -- Rundfunk -- Fernsehen und der sogenannter Promi -- der glauben der Täter noch während der Brand schon ausmachen zu haben . ein äußerer Beschädigung an Gebäude -- ein ganz Dachstuhl brennen gleichzeitig -- eventuell noch über ein Brandwand hinaus . wer können fast 10 Meter hoch mit der erster Wurf -- an der hoch Stelle sollen der Brand beginnen haben -- gezielt ein Brandsatz durch kein Öffnung werfen . also ein Versicherungsbetrug oder ein Versuch ein beispiellos Hetze gegen Sachsen der AfD und Pegida anzetteln . ein technisch Schaden sollen wohl schon ausschließen sein wovon auch . schauen wir mal -- vor alle auf Reaktion danach -- denn bis jetzt sein es nur primitiv Hetze ohne jeglicher Beweis .";"public";"";"";""
"1065801100124979";"[@LINK]";"public";"public";"";""
"1064411476930608";"Sabine Zimmermann. der sein natürlich ein mega gut Beispiel . ogisch sagen sie da der es brennen -- damit sie es der böse -- böse Azi anhängen können . wenn aber unser euankömmling Scheiße bauen werden immer versuchen der Mäntelchen der Verschwiegenheit darüber zu decken . allein ihr Ommentar zeigen wie naiv sie sein .";"individual";"";"";""
"1065837533454669";"der herrschend Politiker bedürfen wirklich achhilfeunterricht in Sache Demokratie .";"public";"";"";""
"1064883423550080";"Silvia öln. wir brauchen etwas lang -- sein aber auf ein gut Weg .";"individual";"";"";""
"1064352826936473";"Eid sein es Brandstiftung aber ich gehen von ein Versicherungsbetrug aus aber in der Richtung denken Ka EER.";"public";"";"";""
"1066462483392174";"devise lauten nach wie vor Zone zuscheißen .";"public";"";"";""
"1069126653125757";"M übrig haben ich auf ein Post antworten -- der nun verschwinden sein .. hier ein ink zu dieser linker Seite mein Meinung nach ein Fake von Ungebildete indern der gern mal der schwesterchen unter der Rock greifen möchten .";"public";"";"";""
"1069116643126758";"der sein doch betrunken .";"public";"";"";""
"1065822346789521";"ich denken mal -- der wollen sich Sachse ein Gehirnwäsch mit politisch Propaganda bombardieren -- dass lassen wir sich nicht fallen .";"group";"";"";""
"1065867473451675";"in Übrig fallen mir noch ein riegen der Schwester auch immer ein ervenzusammenbruch -- wenn sie von ihr Mann schlagen werden . oder nur wenn sie von Uffar angeblich schlagen werden .";"public";"";"";""
"1064380220267067";"und der sein auch gut so .";"public";"";"";""
"1064442286927527";"Rafael Prien. ein s bei verpiss vergessen . Großleinschreibung vernachlässigen ich jetzt mal .";"individual";"";"";""
"1064358353602587";"Jitka Zajícová herzlich willkommen .";"individual";"";"";""
"1064548636916892";"Sachsen sein Deutschland und Deutschland sein Sachsen.";"public";"";"";""
