"id";"description";"TAR"
"1064396393598783";"oliver , ich guck doch schon mindestens einmal die woche rtlnews .";"individual"
"1065824423455980";"ich bin auf einen hoffentlich brandbericht gespannt und anschließend auf die erklärungen der komiker aus politik , presse , rundfunk , fernsehen und der promis , die glaubten die täter noch während des brandes schon ausgemacht zu haben keine äußeren beschädigungen am gebäude , ein dachstuhl brennt gleichzeitig eventuell noch über eine brandwand hinaus wer kann fast meter hoch mit dem wurf , an der stelle soll der brand begonnen haben gezielt einen brandsatz durch keine . öffnung werfen also ein versicherungsbetrug oder ein versuch eine hetze gegen sachsen die afd und pegida anzuzetteln ein schaden soll wohl schon ausgeschlossen sein wovon auch schauen wir mal vor allem auf reaktionen danach denn bis jetzt war es nur hetze ohne jegliche beweise .";"public"
"1065801100124979";"";"public"
"1064411476930608";"sabine zimmermann das ist natürlich ein omega beispiel . logisch sagen sie da das es brennt damit sie es den bösen nazis anhängen können wenn aber unsere scheiße bauen wird immer versucht das mäntelchen der verschwiegenheit darüber zu decken allein ihr kommentar zeigt wie naiv sie sind";"individual"
"1065837533454669";"die politiker bedürfen wirklich nachhilfeunterricht in sachen demokratie .";"public"
"1064883423550080";"silvia köln wir brauchen etwas länger sind aber auf einem weg .";"individual"
"1064352826936473";"leider war es brandstiftung aber ich gehe von einem versicherungsbetrug aus aber in die richtig denkt da keiner";"public"
"1066462483392174";"devise lautet nach wie vor zone zuschießen";"public"
"1069126653125757";"im hatte ich auf einen post geantwortet der nun verschwunden ist . hier ein link zu dieser seite meiner meinung nach ein fake von kindern die gern mal dem schwesterchen unter den rock greifen möchte";"public"
"1069116643126758";"der ist doch betrunken";"public"
"1065822346789521";"ich denke mal , die wollen uns wachsen einer gehirnwäsche mit propaganda bombardieren das lassen wir uns nicht gefallen .";"group"
"1065867473451675";"im fällt mir noch ein kriegt die schwester auch immer einen nervenzusammenbruch , wenn sie von ihrem mann geschlagen wird oder nur wenn sie von kuffar angeblich geschlagen wird";"public"
"1064380220267067";"und das ist auch gut so .";"public"
"1064442286927527";"rafael prien ein ist bei verpiss großkleinschreibung vernachlässige ich jetzt mal";"individual"
"1064358353602587";"jitka zajícová herzlich willkommen .";"individual"
"1064548636916892";"sachsen ist deutschland und deutschland ist sachsen";"public"
"1065842083454214";"wenn keine häuser mehr bombardiert würden würden auch keine häuser mehr brennen die flüchtlinge blieben aus";"public"
"1065868516784904";"gutmenschenhirnverneblersprüche.naja fällt niemand mehr drauf rein kann auch nicht aus billigst altparteienknechten entstehen";"public"
"1064356010269488";"deutsch und frei will da sein und da beim da a dabei weil da ärzgebirger sei .";"public"
"1069076336464122";"volker back komm zurück der merkt ja noch weniger . schwede .";"individual"
"1069221583116264";"peter freienhagen , du hast vollkommen recht aber ich glaube das ist liebesmüh . unserer jugend geht das alles am a. vorbei die haben keine werte vermittelt bekommen und wir die erwachsenen sind auch keine vorbilder mehr an die sich ein mensch orientieren könnte das haben wir alle mächtig versaut";"individual"
"1065801773458245";"die altparteien und die antifa bauen uns ein deutschland , für den islam , für zensur und gegen das volk .";"public"
"1065882156783540";"ich weise gar nicht warum die so laut bellender heute wie filziger in seiner warten kopiert hat soll doch heute nicht auf die schimpfen die haben von den alten gelernt";"group"
